No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,18161.39,25.1,54.47,0.80%,1472407
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,15989.9,,13.64,1.26%,11333802
3,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,509489.03,14.13,591.48,0.24%,8700558
4,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,82372.14,20.08,51.61,-0.90%,4279011
5,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,14868.2,44.74,64.87,-0.48%,2151107
6,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,59670.51,27.82,38.67,-0.18%,3652377
7,ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,34476.32,9.34,102.01,-0.30%,1533089
8,ACN,Accenture plc,Technology,Information Technology Services,Ireland,53722.74,18.7,79.84,-0.47%,2387089
9,ACT,Actavis plc,Healthcare,Drugs - Generic,USA,36253.79,,207.77,1.68%,3070315
10,ADBE,Adobe Systems Inc.,Technology,Application Software,USA,31152.92,118.09,62.59,1.46%,2817700
11,ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,15882.77,23.1,50.82,-0.92%,1527523
12,ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,28355.06,21.41,43.24,-1.12%,3122117
13,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,37399.65,26.58,77.62,-0.44%,1287250
14,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,13477.21,31.58,239.68,-0.92%,1082831
15,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,11000.54,48.42,48.42,0.83%,2322447
16,ADT,The ADT Corporation,Services,Security & Protection Services,USA,5512.13,16.52,30.07,-0.56%,3256297
17,AEE,Ameren Corporation,Utilities,Diversified Utilities,USA,10018.19,19.66,41.29,-0.05%,1413313
18,AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,26278.86,17.72,53.87,0.11%,3304609
19,AES,The AES Corporation,Utilities,Electric Utilities,USA,10663.49,38.76,14.73,1.94%,4599294
20,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,25532.66,12.58,71.44,-0.01%,2287438
21,AFL,AFLAC Inc.,Financial,Accident & Health Insurance,USA,28728.45,9.36,63.17,0.72%,1670355
22,AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,USA,50456.87,40.07,168.69,1.72%,3689285
23,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,76712.18,8.72,52.94,-0.36%,7384602
24,AIV,Apartment Investment & Management Co.,Financial,REIT - Residential,USA,4551.01,107.41,31.15,1.04%,1368081
